v1,State,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,numberofvotes,_merge,votePercent,electvotes,roundedElec
2008,Arizona,AZ,4,86,61,US President,"McCain, John",republican,FALSE,1230111,2293475,20171015,NA,11,matched (3),.53635246,5.8998771,6
2004,Arizona,AZ,4,86,61,US President,"Kerry, John",democrat,FALSE,893524,2012585,20171015,NA,11,matched (3),.44396833,4.8836517,5
2008,Arizona,AZ,4,86,61,US President,"Nader, Ralph",independent,FALSE,11301,2293475,20171015,NA,11,matched (3),.0049274573,.054202031,0
1996,Arizona,AZ,4,86,61,US President,"Dole, Robert",republican,FALSE,622073,1404405,20171015,NA,11,matched (3),.44294417,4.872386,5
2016,Arizona,AZ,4,86,61,US President,,independent,TRUE,17473,2573165,20171015,NA,11,matched (3),.0067904703,.07469517,0
1984,Arizona,AZ,4,86,61,US President,Other,,FALSE,42,1025897,20171015,NA,11,matched (3),.000040939784,.00045033763,0
1980,Arizona,AZ,4,86,61,US President,"Clark, Edward """"Ed""""",libertarian,FALSE,18784,873945,20171015,NA,11,matched (3),.021493344,.23642679,0
1996,Arizona,AZ,4,86,61,US President,"Browne, Harry",libertarian,FALSE,14358,1404405,20171015,NA,11,matched (3),.010223547,.11245902,0
2008,Arizona,AZ,4,86,61,US President,"McKinney, Cynthia",green,FALSE,3406,2293475,20171015,NA,11,matched (3),.0014850827,.01633591,0
1976,Arizona,AZ,4,86,61,US President,,,TRUE,22,742719,20171015,NA,11,matched (3),.000029620893,.00032582981,0
1976,Arizona,AZ,4,86,61,US President,"Ford, Gerald",republican,FALSE,418642,742719,20171015,NA,11,matched (3),.56366134,6.2002745,6
1988,Arizona,AZ,4,86,61,US President,"Fulani, Lenora",new alliance,FALSE,1662,1171873,20171015,NA,11,matched (3),.0014182425,.015600667,0
1980,Arizona,AZ,4,86,61,US President,"Anderson, John B.",independent,FALSE,76952,873945,20171015,NA,11,matched (3),.088051304,.96856433,1
1988,Arizona,AZ,4,86,61,US President,,,TRUE,290,1171873,20171015,NA,11,matched (3),.00024746708,.0027221378,0
1976,Arizona,AZ,4,86,61,US President,"Camejo, Peter",socialist workers,FALSE,928,742719,20171015,NA,11,matched (3),.0012494631,.013744093,0
2016,Arizona,AZ,4,86,61,US President,,democrat,TRUE,42,2573165,20171015,NA,11,matched (3),.00001632231,.00017954542,0
1984,Arizona,AZ,4,86,61,US President,"Reagan, Ronald",republican,FALSE,681416,1025897,20171015,NA,11,matched (3),.66421485,7.3063631,7
1988,Arizona,AZ,4,86,61,US President,"Bush, George H.W.",republican,FALSE,702541,1171873,20171015,NA,11,matched (3),.59950268,6.5945296,7
1988,Arizona,AZ,4,86,61,US President,"Dukakis, Michael",democrat,FALSE,454029,1171873,20171015,NA,11,matched (3),.38743874,4.261826,4
